	x	y	time
t_2_obs_1	837.5	218.5	2
t_2_obs_2	359.5	147.5	2
t_2_obs_3	162.5	568.5	2
t_2_obs_4	400.5	181.5	2
t_2_obs_5	1041.5	411.5	2
t_2_obs_6	509.5	153.5	2
t_2_obs_7	390.5	675.5	2
t_2_obs_8	530.5	438.5	2
t_2_obs_9	355.5	460.5	2
t_2_obs_10	385.5	644.5	2
t_2_obs_11	471.5	177.5	2
t_2_obs_12	58.5	513.5	2
t_2_obs_13	121.5	466.5	2
t_2_obs_14	491.5	450.5	2
t_2_obs_15	951.5	181.5	2
t_2_obs_16	195.5	595.5	2
t_2_obs_17	15.5	499.5	2
t_2_obs_18	245.5	275.5	2
t_2_obs_19	122.5	529.5	2
t_2_obs_20	423.5	149.5	2
t_2_obs_21	81.5	463.5	2
t_2_obs_22	958.5	218.5	2
t_2_obs_23	248.5	48.5	2
t_2_obs_24	1023.5	397.5	2
t_2_obs_25	278.5	296.5	2
t_2_obs_26	973.5	549.5	2
t_2_obs_27	812.5	202.5	2
t_2_obs_28	169.5	22.5	2
t_2_obs_29	376.5	431.5	2
t_2_obs_30	192.5	19.5	2
t_3_obs_0	195.5	596.5	3
t_3_obs_1	637.5	20.5	3
t_3_obs_2	938.5	552.5	3
t_3_obs_3	839.5	218.5	3
t_3_obs_4	1024.5	393.5	3
t_3_obs_5	491.5	449.5	3
t_3_obs_6	390.5	674.5	3
t_3_obs_7	163.5	567.5	3
t_3_obs_8	528.5	433.5	3
t_3_obs_9	382.5	642.5	3
t_3_obs_10	121.5	551.5	3
t_3_obs_11	422.5	150.5	3
t_3_obs_12	1040.5	408.5	3
t_3_obs_13	514.5	158.5	3
t_3_obs_14	131.5	512.5	3
t_3_obs_15	15.5	498.5	3
t_3_obs_16	959.5	217.5	3
t_3_obs_17	402.5	177.5	3
t_3_obs_18	356.5	462.5	3
t_3_obs_19	954.5	184.5	3
t_3_obs_20	248.5	279.5	3
t_3_obs_21	55.5	512.5	3
t_3_obs_22	248.5	48.5	3
t_3_obs_23	959.5	556.5	3
t_3_obs_24	472.5	172.5	3
t_3_obs_25	121.5	467.5	3
t_3_obs_26	276.5	296.5	3
t_3_obs_27	692.5	25.5	3
t_3_obs_28	363.5	146.5	3
t_3_obs_29	84.5	461.5	3
t_3_obs_30	245.5	3.5	3
t_3_obs_31	811.5	208.5	3
t_3_obs_32	363.5	427.5	3
t_3_obs_33	190.5	19.5	3
t_3_obs_34	170.5	18.5	3
t_4_obs_0	163.5	572.5	4
t_4_obs_1	1041.5	410.5	4
t_4_obs_2	381.5	642.5	4
t_4_obs_3	841.5	218.5	4
t_4_obs_4	119.5	547.5	4
t_4_obs_5	423.5	151.5	4
t_4_obs_6	473.5	176.5	4
t_4_obs_7	250.5	278.5	4
t_4_obs_8	533.5	436.5	4
t_4_obs_9	939.5	550.5	4
t_4_obs_10	393.5	672.5	4
t_4_obs_11	812.5	198.5	4
t_4_obs_12	353.5	463.5	4
t_4_obs_13	509.5	155.5	4
t_4_obs_14	492.5	449.5	4
t_4_obs_15	115.5	467.5	4
t_4_obs_16	634.5	10.5	4
t_4_obs_17	953.5	184.5	4
t_4_obs_18	960.5	210.5	4
t_4_obs_19	273.5	294.5	4
t_4_obs_20	1020.5	394.5	4
t_4_obs_21	24.5	501.5	4
t_4_obs_22	89.5	457.5	4
t_4_obs_23	203.5	582.5	4
t_4_obs_24	249.5	50.5	4
t_4_obs_25	123.5	513.5	4
t_4_obs_26	402.5	173.5	4
t_4_obs_27	55.5	499.5	4
t_4_obs_28	969.5	556.5	4
t_4_obs_29	693.5	29.5	4
t_4_obs_30	202.5	609.5	4
t_4_obs_31	357.5	132.5	4
t_4_obs_32	369.5	434.5	4
t_4_obs_33	355.5	162.5	4
t_4_obs_34	186.5	25.5	4
t_5_obs_0	377.5	641.5	5
t_5_obs_1	494.5	447.5	5
t_5_obs_2	956.5	217.5	5
t_5_obs_3	845.5	220.5	5
t_5_obs_4	688.5	32.5	5
t_5_obs_5	207.5	584.5	5
t_5_obs_6	391.5	669.5	5
t_5_obs_7	1041.5	413.5	5
t_5_obs_8	467.5	182.5	5
t_5_obs_9	123.5	548.5	5
t_5_obs_10	354.5	462.5	5
t_5_obs_11	504.5	157.5	5
t_5_obs_12	536.5	436.5	5
t_5_obs_13	812.5	198.5	5
t_5_obs_14	246.5	52.5	5
t_5_obs_15	246.5	283.5	5
t_5_obs_16	399.5	177.5	5
t_5_obs_17	633.5	9.5	5
t_5_obs_18	118.5	468.5	5
t_5_obs_19	271.5	292.5	5
t_5_obs_20	936.5	549.5	5
t_5_obs_21	947.5	179.5	5
t_5_obs_22	53.5	505.5	5
t_5_obs_23	128.5	511.5	5
t_5_obs_24	961.5	555.5	5
t_5_obs_25	419.5	154.5	5
t_5_obs_26	1023.5	392.5	5
t_5_obs_27	91.5	460.5	5
t_5_obs_28	351.5	165.5	5
t_5_obs_29	363.5	437.5	5
t_5_obs_30	196.5	612.5	5
t_5_obs_31	349.5	129.5	5
t_5_obs_32	700.5	14.5	5
t_5_obs_33	19.5	497.5	5
t_5_obs_34	162.5	570.5	5
t_5_obs_35	177.5	26.5	5
t_6_obs_0	380.5	640.5	6
t_6_obs_1	242.5	284.5	6
t_6_obs_2	937.5	550.5	6
t_6_obs_3	849.5	223.5	6
t_6_obs_4	115.5	470.5	6
t_6_obs_5	535.5	440.5	6
t_6_obs_6	355.5	463.5	6
t_6_obs_7	204.5	586.5	6
t_6_obs_8	509.5	152.5	6
t_6_obs_9	470.5	184.5	6
t_6_obs_10	963.5	221.5	6
t_6_obs_11	421.5	152.5	6
t_6_obs_12	172.5	548.5	6
t_6_obs_13	1042.5	409.5	6
t_6_obs_14	815.5	192.5	6
t_6_obs_15	1021.5	392.5	6
t_6_obs_16	400.5	174.5	6
t_6_obs_17	495.5	448.5	6
t_6_obs_18	130.5	511.5	6
t_6_obs_19	952.5	184.5	6
t_6_obs_20	132.5	549.5	6
t_6_obs_21	679.5	33.5	6
t_6_obs_22	636.5	3.5	6
t_6_obs_23	270.5	300.5	6
t_6_obs_24	242.5	53.5	6
t_6_obs_25	92.5	458.5	6
t_6_obs_26	158.5	578.5	6
t_6_obs_27	50.5	493.5	6
t_6_obs_28	198.5	608.5	6
t_6_obs_29	351.5	162.5	6
t_6_obs_30	349.5	130.5	6
t_6_obs_31	98.5	484.5	6
t_6_obs_32	18.5	501.5	6
t_6_obs_33	354.5	432.5	6
t_6_obs_34	387.5	668.5	6
t_6_obs_35	971.5	555.5	6
t_6_obs_36	701.5	12.5	6
t_6_obs_37	183.5	33.5	6
t_7_obs_0	809.5	199.5	7
t_7_obs_1	1042.5	408.5	7
t_7_obs_2	845.5	219.5	7
t_7_obs_3	243.5	282.5	7
t_7_obs_4	494.5	450.5	7
t_7_obs_5	952.5	182.5	7
t_7_obs_6	970.5	219.5	7
t_7_obs_7	167.5	546.5	7
t_7_obs_8	355.5	461.5	7
t_7_obs_9	469.5	182.5	7
t_7_obs_10	944.5	551.5	7
t_7_obs_11	128.5	542.5	7
t_7_obs_12	506.5	150.5	7
t_7_obs_13	677.5	35.5	7
t_7_obs_14	198.5	609.5	7
t_7_obs_15	424.5	155.5	7
t_7_obs_16	537.5	436.5	7
t_7_obs_17	395.5	183.5	7
t_7_obs_18	118.5	469.5	7
t_7_obs_19	157.5	576.5	7
t_7_obs_20	413.5	652.5	7
t_7_obs_21	1021.5	392.5	7
t_7_obs_22	131.5	511.5	7
t_7_obs_23	350.5	131.5	7
t_7_obs_24	386.5	675.5	7
t_7_obs_25	238.5	51.5	7
t_7_obs_26	53.5	508.5	7
t_7_obs_27	183.5	29.5	7
t_7_obs_28	355.5	168.5	7
t_7_obs_29	93.5	458.5	7
t_7_obs_30	268.5	301.5	7
t_7_obs_31	385.5	631.5	7
t_7_obs_32	206.5	590.5	7
t_7_obs_33	22.5	490.5	7
t_7_obs_34	358.5	433.5	7
t_7_obs_35	980.5	552.5	7
t_7_obs_36	247.5	4.5	7
t_8_obs_0	968.5	220.5	8
t_8_obs_1	1041.5	410.5	8
t_8_obs_2	491.5	449.5	8
t_8_obs_3	942.5	547.5	8
t_8_obs_4	671.5	36.5	8
t_8_obs_5	241.5	283.5	8
t_8_obs_6	358.5	654.5	8
t_8_obs_7	468.5	178.5	8
t_8_obs_8	842.5	222.5	8
t_8_obs_9	413.5	660.5	8
t_8_obs_10	280.5	329.5	8
t_8_obs_11	952.5	186.5	8
t_8_obs_12	506.5	148.5	8
t_8_obs_13	809.5	200.5	8
t_8_obs_14	156.5	575.5	8
t_8_obs_15	536.5	441.5	8
t_8_obs_16	424.5	152.5	8
t_8_obs_17	395.5	178.5	8
t_8_obs_18	973.5	551.5	8
t_8_obs_19	171.5	546.5	8
t_8_obs_20	382.5	628.5	8
t_8_obs_21	239.5	53.5	8
t_8_obs_22	1026.5	394.5	8
t_8_obs_23	350.5	463.5	8
t_8_obs_24	131.5	504.5	8
t_8_obs_25	127.5	548.5	8
t_8_obs_26	17.5	501.5	8
t_8_obs_27	201.5	589.5	8
t_8_obs_28	381.5	673.5	8
t_8_obs_29	366.5	433.5	8
t_8_obs_30	50.5	510.5	8
t_8_obs_31	88.5	461.5	8
t_8_obs_32	354.5	167.5	8
t_8_obs_33	183.5	30.5	8
t_8_obs_34	192.5	609.5	8
t_8_obs_35	353.5	131.5	8
t_9_obs_0	976.5	222.5	9
t_9_obs_1	943.5	548.5	9
t_9_obs_2	1042.5	405.5	9
t_9_obs_3	493.5	447.5	9
t_9_obs_4	394.5	617.5	9
t_9_obs_5	129.5	505.5	9
t_9_obs_6	1020.5	388.5	9
t_9_obs_7	240.5	288.5	9
t_9_obs_8	363.5	647.5	9
t_9_obs_9	284.5	326.5	9
t_9_obs_10	843.5	222.5	9
t_9_obs_11	120.5	546.5	9
t_9_obs_12	472.5	176.5	9
t_9_obs_13	952.5	181.5	9
t_9_obs_14	507.5	149.5	9
t_9_obs_15	672.5	36.5	9
t_9_obs_16	540.5	443.5	9
t_9_obs_17	157.5	572.5	9
t_9_obs_18	423.5	154.5	9
t_9_obs_19	351.5	461.5	9
t_9_obs_20	416.5	655.5	9
t_9_obs_21	395.5	180.5	9
t_9_obs_22	50.5	508.5	9
t_9_obs_23	20.5	490.5	9
t_9_obs_24	810.5	193.5	9
t_9_obs_25	177.5	542.5	9
t_9_obs_26	238.5	55.5	9
t_9_obs_27	976.5	547.5	9
t_9_obs_28	382.5	678.5	9
t_9_obs_29	352.5	129.5	9
t_9_obs_30	202.5	588.5	9
t_9_obs_31	83.5	460.5	9
t_9_obs_32	368.5	435.5	9
t_9_obs_33	195.5	608.5	9
t_9_obs_34	358.5	164.5	9
t_9_obs_35	691.5	11.5	9
t_9_obs_36	184.5	30.5	9
t_9_obs_37	633.5	1.5	9
t_10_obs_0	977.5	226.5	10
t_10_obs_1	841.5	221.5	10
t_10_obs_2	671.5	39.5	10
t_10_obs_3	352.5	461.5	10
t_10_obs_4	941.5	549.5	10
t_10_obs_5	498.5	157.5	10
t_10_obs_6	955.5	183.5	10
t_10_obs_7	1044.5	412.5	10
t_10_obs_8	381.5	684.5	10
t_10_obs_9	393.5	618.5	10
t_10_obs_10	536.5	444.5	10
t_10_obs_11	241.5	292.5	10
t_10_obs_12	1021.5	389.5	10
t_10_obs_13	110.5	544.5	10
t_10_obs_14	807.5	190.5	10
t_10_obs_15	176.5	541.5	10
t_10_obs_16	286.5	325.5	10
t_10_obs_17	130.5	506.5	10
t_10_obs_18	423.5	155.5	10
t_10_obs_19	468.5	177.5	10
t_10_obs_20	236.5	54.5	10
t_10_obs_21	79.5	449.5	10
t_10_obs_22	414.5	656.5	10
t_10_obs_23	487.5	443.5	10
t_10_obs_24	150.5	569.5	10
t_10_obs_25	204.5	589.5	10
t_10_obs_26	118.5	469.5	10
t_10_obs_27	366.5	646.5	10
t_10_obs_28	396.5	178.5	10
t_10_obs_29	179.5	34.5	10
t_10_obs_30	349.5	123.5	10
t_10_obs_31	50.5	503.5	10
t_10_obs_32	369.5	437.5	10
t_10_obs_33	697.5	18.5	10
t_10_obs_34	20.5	498.5	10
t_10_obs_35	983.5	547.5	10
t_10_obs_36	194.5	610.5	10
t_10_obs_37	962.5	534.5	10
t_11_obs_0	839.5	220.5	11
t_11_obs_1	975.5	227.5	11
t_11_obs_2	130.5	519.5	11
t_11_obs_3	673.5	38.5	11
t_11_obs_4	394.5	623.5	11
t_11_obs_5	362.5	640.5	11
t_11_obs_6	240.5	296.5	11
t_11_obs_7	469.5	179.5	11
t_11_obs_8	946.5	551.5	11
t_11_obs_9	954.5	184.5	11
t_11_obs_10	537.5	449.5	11
t_11_obs_11	351.5	463.5	11
t_11_obs_12	504.5	150.5	11
t_11_obs_13	380.5	686.5	11
t_11_obs_14	414.5	658.5	11
t_11_obs_15	274.5	322.5	11
t_11_obs_16	392.5	175.5	11
t_11_obs_17	120.5	472.5	11
t_11_obs_18	106.5	545.5	11
t_11_obs_19	147.5	576.5	11
t_11_obs_20	181.5	543.5	11
t_11_obs_21	367.5	431.5	11
t_11_obs_22	234.5	59.5	11
t_11_obs_23	1059.5	403.5	11
t_11_obs_24	51.5	507.5	11
t_11_obs_25	424.5	157.5	11
t_11_obs_26	807.5	190.5	11
t_11_obs_27	75.5	453.5	11
t_11_obs_28	1024.5	419.5	11
t_11_obs_29	482.5	434.5	11
t_11_obs_30	179.5	34.5	11
t_11_obs_31	698.5	17.5	11
t_11_obs_32	359.5	161.5	11
t_11_obs_33	1016.5	389.5	11
t_11_obs_34	484.5	465.5	11
t_11_obs_35	348.5	120.5	11
t_11_obs_36	1039.5	392.5	11
t_11_obs_37	194.5	604.5	11
t_11_obs_38	20.5	502.5	11
t_11_obs_39	248.5	2.5	11
t_11_obs_40	89.5	481.5	11
t_11_obs_41	131.5	544.5	11
t_11_obs_42	676.5	17.5	11
t_11_obs_43	636.5	1.5	11
t_12_obs_0	976.5	226.5	12
t_12_obs_1	241.5	294.5	12
t_12_obs_2	675.5	36.5	12
t_12_obs_3	837.5	213.5	12
t_12_obs_4	535.5	447.5	12
t_12_obs_5	954.5	182.5	12
t_12_obs_6	469.5	185.5	12
t_12_obs_7	509.5	156.5	12
t_12_obs_8	349.5	459.5	12
t_12_obs_9	107.5	542.5	12
t_12_obs_10	133.5	511.5	12
t_12_obs_11	118.5	472.5	12
t_12_obs_12	53.5	505.5	12
t_12_obs_13	423.5	155.5	12
t_12_obs_14	390.5	176.5	12
t_12_obs_15	365.5	644.5	12
t_12_obs_16	1007.5	394.5	12
t_12_obs_17	1031.5	428.5	12
t_12_obs_18	184.5	539.5	12
t_12_obs_19	272.5	321.5	12
t_12_obs_20	379.5	681.5	12
t_12_obs_21	412.5	650.5	12
t_12_obs_22	207.5	592.5	12
t_12_obs_23	145.5	576.5	12
t_12_obs_24	239.5	62.5	12
t_12_obs_25	1048.5	379.5	12
t_12_obs_26	83.5	459.5	12
t_12_obs_27	398.5	625.5	12
t_12_obs_28	1056.5	399.5	12
t_12_obs_29	936.5	541.5	12
t_12_obs_30	988.5	548.5	12
t_12_obs_31	371.5	437.5	12
t_12_obs_32	484.5	426.5	12
t_12_obs_33	484.5	460.5	12
t_12_obs_34	351.5	115.5	12
t_12_obs_35	359.5	162.5	12
t_12_obs_36	186.5	603.5	12
t_12_obs_37	698.5	17.5	12
t_12_obs_38	182.5	32.5	12
t_12_obs_39	246.5	1.5	12
t_13_obs_0	1011.5	394.5	13
t_13_obs_1	976.5	229.5	13
t_13_obs_2	836.5	213.5	13
t_13_obs_3	118.5	473.5	13
t_13_obs_4	674.5	38.5	13
t_13_obs_5	468.5	183.5	13
t_13_obs_6	238.5	304.5	13
t_13_obs_7	350.5	459.5	13
t_13_obs_8	950.5	183.5	13
t_13_obs_9	1035.5	427.5	13
t_13_obs_10	486.5	461.5	13
t_13_obs_11	425.5	147.5	13
t_13_obs_12	104.5	547.5	13
t_13_obs_13	415.5	656.5	13
t_13_obs_14	392.5	179.5	13
t_13_obs_15	189.5	544.5	13
t_13_obs_16	53.5	505.5	13
t_13_obs_17	137.5	525.5	13
t_13_obs_18	1045.5	379.5	13
t_13_obs_19	516.5	146.5	13
t_13_obs_20	269.5	322.5	13
t_13_obs_21	954.5	531.5	13
t_13_obs_22	400.5	624.5	13
t_13_obs_23	199.5	592.5	13
t_13_obs_24	925.5	561.5	13
t_13_obs_25	363.5	642.5	13
t_13_obs_26	803.5	174.5	13
t_13_obs_27	1058.5	400.5	13
t_13_obs_28	490.5	428.5	13
t_13_obs_29	805.5	200.5	13
t_13_obs_30	84.5	457.5	13
t_13_obs_31	140.5	580.5	13
t_13_obs_32	377.5	680.5	13
t_13_obs_33	542.5	441.5	13
t_13_obs_34	234.5	62.5	13
t_13_obs_35	370.5	436.5	13
t_13_obs_36	351.5	116.5	13
t_13_obs_37	979.5	551.5	13
t_13_obs_38	175.5	26.5	13
t_13_obs_39	10.5	493.5	13
t_13_obs_40	187.5	609.5	13
t_14_obs_0	979.5	230.5	14
t_14_obs_1	1010.5	395.5	14
t_14_obs_2	232.5	308.5	14
t_14_obs_3	410.5	653.5	14
t_14_obs_4	924.5	561.5	14
t_14_obs_5	675.5	38.5	14
t_14_obs_6	107.5	547.5	14
t_14_obs_7	951.5	182.5	14
t_14_obs_8	467.5	170.5	14
t_14_obs_9	352.5	460.5	14
t_14_obs_10	422.5	145.5	14
t_14_obs_11	136.5	514.5	14
t_14_obs_12	849.5	217.5	14
t_14_obs_13	59.5	495.5	14
t_14_obs_14	1034.5	424.5	14
t_14_obs_15	506.5	147.5	14
t_14_obs_16	80.5	449.5	14
t_14_obs_17	187.5	537.5	14
t_14_obs_18	274.5	334.5	14
t_14_obs_19	974.5	563.5	14
t_14_obs_20	487.5	426.5	14
t_14_obs_21	399.5	630.5	14
t_14_obs_22	378.5	681.5	14
t_14_obs_23	954.5	522.5	14
t_14_obs_24	366.5	642.5	14
t_14_obs_25	385.5	177.5	14
t_14_obs_26	1054.5	401.5	14
t_14_obs_27	488.5	464.5	14
t_14_obs_28	987.5	537.5	14
t_14_obs_29	238.5	65.5	14
t_14_obs_30	123.5	466.5	14
t_14_obs_31	375.5	439.5	14
t_14_obs_32	1048.5	376.5	14
t_14_obs_33	536.5	457.5	14
t_14_obs_34	552.5	425.5	14
t_14_obs_35	142.5	580.5	14
t_14_obs_36	791.5	202.5	14
t_14_obs_37	801.5	173.5	14
t_14_obs_38	348.5	118.5	14
t_14_obs_39	195.5	586.5	14
t_14_obs_40	700.5	18.5	14
t_14_obs_41	1034.5	402.5	14
t_14_obs_42	187.5	608.5	14
t_14_obs_43	362.5	154.5	14
t_14_obs_44	181.5	28.5	14
t_15_obs_0	233.5	309.5	15
t_15_obs_1	111.5	542.5	15
t_15_obs_2	978.5	233.5	15
t_15_obs_3	474.5	177.5	15
t_15_obs_4	416.5	147.5	15
t_15_obs_5	955.5	182.5	15
t_15_obs_6	54.5	499.5	15
t_15_obs_7	1008.5	396.5	15
t_15_obs_8	350.5	458.5	15
t_15_obs_9	677.5	34.5	15
t_15_obs_10	547.5	426.5	15
t_15_obs_11	512.5	148.5	15
t_15_obs_12	801.5	170.5	15
t_15_obs_13	146.5	578.5	15
t_15_obs_14	403.5	631.5	15
t_15_obs_15	389.5	181.5	15
t_15_obs_16	923.5	563.5	15
t_15_obs_17	134.5	507.5	15
t_15_obs_18	962.5	523.5	15
t_15_obs_19	361.5	639.5	15
t_15_obs_20	494.5	429.5	15
t_15_obs_21	972.5	571.5	15
t_15_obs_22	793.5	200.5	15
t_15_obs_23	1051.5	378.5	15
t_15_obs_24	266.5	339.5	15
t_15_obs_25	70.5	459.5	15
t_15_obs_26	817.5	201.5	15
t_15_obs_27	844.5	222.5	15
t_15_obs_28	187.5	534.5	15
t_15_obs_29	200.5	574.5	15
t_15_obs_30	497.5	465.5	15
t_15_obs_31	1051.5	402.5	15
t_15_obs_32	1034.5	424.5	15
t_15_obs_33	243.5	62.5	15
t_15_obs_34	996.5	537.5	15
t_15_obs_35	547.5	463.5	15
t_15_obs_36	135.5	454.5	15
t_15_obs_37	97.5	450.5	15
t_15_obs_38	193.5	604.5	15
t_15_obs_39	382.5	684.5	15
t_15_obs_40	371.5	437.5	15
t_15_obs_41	396.5	651.5	15
t_15_obs_42	184.5	26.5	15
t_15_obs_43	1029.5	401.5	15
t_15_obs_44	345.5	116.5	15
t_15_obs_45	359.5	156.5	15
t_15_obs_46	243.5	8.5	15
t_15_obs_47	638.5	2.5	15
t_15_obs_48	113.5	472.5	15
t_16_obs_0	90.5	439.5	16
t_16_obs_1	977.5	234.5	16
t_16_obs_2	402.5	637.5	16
t_16_obs_3	115.5	463.5	16
t_16_obs_4	357.5	643.5	16
t_16_obs_5	1009.5	398.5	16
t_16_obs_6	389.5	182.5	16
t_16_obs_7	466.5	181.5	16
t_16_obs_8	270.5	341.5	16
t_16_obs_9	417.5	149.5	16
t_16_obs_10	515.5	146.5	16
t_16_obs_11	231.5	311.5	16
t_16_obs_12	350.5	460.5	16
t_16_obs_13	63.5	495.5	16
t_16_obs_14	136.5	509.5	16
t_16_obs_15	81.5	458.5	16
t_16_obs_16	952.5	184.5	16
t_16_obs_17	106.5	546.5	16
t_16_obs_18	963.5	522.5	16
t_16_obs_19	678.5	35.5	16
t_16_obs_20	237.5	62.5	16
t_16_obs_21	1032.5	426.5	16
t_16_obs_22	549.5	428.5	16
t_16_obs_23	970.5	570.5	16
t_16_obs_24	374.5	440.5	16
t_16_obs_25	997.5	539.5	16
t_16_obs_26	921.5	562.5	16
t_16_obs_27	801.5	171.5	16
t_16_obs_28	494.5	468.5	16
t_16_obs_29	136.5	586.5	16
t_16_obs_30	190.5	536.5	16
t_16_obs_31	192.5	603.5	16
t_16_obs_32	198.5	572.5	16
t_16_obs_33	132.5	451.5	16
t_16_obs_34	494.5	428.5	16
t_16_obs_35	545.5	458.5	16
t_16_obs_36	798.5	204.5	16
t_16_obs_37	179.5	25.5	16
t_16_obs_38	847.5	225.5	16
t_16_obs_39	1053.5	383.5	16
t_16_obs_40	815.5	216.5	16
t_16_obs_41	344.5	119.5	16
t_16_obs_42	362.5	153.5	16
t_16_obs_43	1052.5	408.5	16
t_16_obs_44	244.5	10.5	16
t_17_obs_0	980.5	232.5	17
t_17_obs_1	102.5	547.5	17
t_17_obs_2	129.5	514.5	17
t_17_obs_3	923.5	560.5	17
t_17_obs_4	678.5	36.5	17
t_17_obs_5	98.5	440.5	17
t_17_obs_6	554.5	428.5	17
t_17_obs_7	387.5	181.5	17
t_17_obs_8	351.5	654.5	17
t_17_obs_9	971.5	531.5	17
t_17_obs_10	231.5	318.5	17
t_17_obs_11	970.5	571.5	17
t_17_obs_12	240.5	64.5	17
t_17_obs_13	267.5	336.5	17
t_17_obs_14	470.5	176.5	17
t_17_obs_15	852.5	225.5	17
t_17_obs_16	1000.5	539.5	17
t_17_obs_17	500.5	152.5	17
t_17_obs_18	791.5	203.5	17
t_17_obs_19	138.5	585.5	17
t_17_obs_20	801.5	174.5	17
t_17_obs_21	349.5	453.5	17
t_17_obs_22	54.5	486.5	17
t_17_obs_23	955.5	183.5	17
t_17_obs_24	1012.5	401.5	17
t_17_obs_25	496.5	429.5	17
t_17_obs_26	125.5	465.5	17
t_17_obs_27	1050.5	382.5	17
t_17_obs_28	417.5	144.5	17
t_17_obs_29	184.5	533.5	17
t_17_obs_30	546.5	462.5	17
t_17_obs_31	397.5	635.5	17
t_17_obs_32	812.5	212.5	17
t_17_obs_33	491.5	467.5	17
t_17_obs_34	82.5	457.5	17
t_17_obs_35	391.5	692.5	17
t_17_obs_36	190.5	601.5	17
t_17_obs_37	373.5	440.5	17
t_17_obs_38	211.5	572.5	17
t_17_obs_39	344.5	119.5	17
t_17_obs_40	184.5	28.5	17
t_17_obs_41	360.5	154.5	17
t_17_obs_42	1032.5	425.5	17
t_17_obs_43	813.5	191.5	17
t_18_obs_0	979.5	236.5	18
t_18_obs_1	470.5	177.5	18
t_18_obs_2	385.5	182.5	18
t_18_obs_3	419.5	148.5	18
t_18_obs_4	956.5	180.5	18
t_18_obs_5	109.5	549.5	18
t_18_obs_6	925.5	554.5	18
t_18_obs_7	801.5	176.5	18
t_18_obs_8	202.5	580.5	18
t_18_obs_9	355.5	652.5	18
t_18_obs_10	51.5	501.5	18
t_18_obs_11	274.5	340.5	18
t_18_obs_12	1012.5	404.5	18
t_18_obs_13	95.5	442.5	18
t_18_obs_14	68.5	457.5	18
t_18_obs_15	512.5	144.5	18
t_18_obs_16	351.5	449.5	18
t_18_obs_17	240.5	59.5	18
t_18_obs_18	966.5	574.5	18
t_18_obs_19	486.5	461.5	18
t_18_obs_20	963.5	527.5	18
t_18_obs_21	1001.5	530.5	18
t_18_obs_22	132.5	519.5	18
t_18_obs_23	408.5	638.5	18
t_18_obs_24	679.5	34.5	18
t_18_obs_25	190.5	532.5	18
t_18_obs_26	543.5	453.5	18
t_18_obs_27	235.5	321.5	18
t_18_obs_28	793.5	203.5	18
t_18_obs_29	847.5	225.5	18
t_18_obs_30	131.5	454.5	18
t_18_obs_31	553.5	426.5	18
t_18_obs_32	499.5	430.5	18
t_18_obs_33	136.5	585.5	18
t_18_obs_34	371.5	433.5	18
t_18_obs_35	189.5	605.5	18
t_18_obs_36	1036.5	424.5	18
t_18_obs_37	121.5	479.5	18
t_18_obs_38	1052.5	406.5	18
t_18_obs_39	186.5	29.5	18
